"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"D219","Herald Digel","Herald Digel","","","","","","","R","Unknown","GER"
"D225","Xi-Dong Dai","Xi-Dong Dai","","","","","","","R","Unknown","CHN"
"D226","Diego Del Rio","Diego Del Rio","19720904","77","175","1990","Buenos Aires, Argentina","","R","","ARG"
"D227","Grant Doyle","Grant Doyle","19740109","75","180","1990","Sydney, NSW, Australia","","R","","AUS"
"D228","Filip Dewulf","Filip Dewulf","19720315","80","191","1990","Mol, Belgium","Gabriel Gonzalez","R","","BEL"
"D230","Genaro De Leon","Genaro De Leon","","","","","","","R","","DOM"
"D239","Bartlomiej Dabrowski","Bartlomiej Dabrowski","19720820","","","","","","R","","POL"
"D240","Lior Dahan","Lior Dahan","19751014","","","","","","R","Unknown","ISR"
"D243","James Davidson","James Davidson","19730916","","","","","","R","Unknown","GBR"
"D245","Nebojsa Djordjevic","Nebojsa Djordjevic","19730424","82","191","1993","Belgrade, Yugoslavia","","R","","SRB"
"D246","Unknown Unknown","Unknown Unknown","","","","","","","","",""
"D249","Hendrik Dreekmann","Hendrik Dreekmann","19750129","82","188","1991","Bielefeld, Germany","Ion Geanta","R","","GER"
"D252","Riva Da Silva","Riva Da Silva","19700813","","","","","","R","Unknown","PRT"
"D253","Federico Dondo","Federico Dondo","19711018","","","","","","R","","URU"
"D254","Stewart Doyle","Stewart Doyle","","","","","","","R","","IRL"
"D259","Robert Devens","Robert Devens","19720520","","","","","","R","Unknown","USA"
"D261","Rafael De Wallau","Rafael De Wallau","","","","","","","R","Unknown","BRA"
"D262","Carlos De Oliveira","Carlos De Oliveira","","","","","","","R","Unknown","BRA"
"D265","Brian Dunn","Brian Dunn","19740405","91","201","1992","Tampa, FL","","R","","USA"
"D269","Patricio Delgado","Patricio Delgado","","","","","","","R","Unknown","CHI"
"D270","Scott Draper","Scott Draper","19740605","78","175","1993","Brisbane, QLD, Australia","","L","1H","AUS"
"D272","Antony Dupuis","Antony Dupuis","19730224","87","185","1992","Bayonne, France","Benoit Carelli","R","","FRA"
"D276","Carlos Drada","Carlos Drada","19750209","","","","","","L","","COL"
"D277","Geronimo Degreef","Geronimo Degreef","","","","","","","R","Unknown","ARG"
"D279","Steven Downs","Steven Downs","19750908","77","183","1994","Auckland, New Zealand","","R","","NZL"
"D286","Josip Dumanic","Josip Dumanic","19741212","","","","","","R","Unknown","CRO"
"D289","Jamie Delgado","Jamie Delgado","19770321","70","178","1995","Birmingham, England","Andrew Richardson","R","","GBR"
"D291","Jacobo Diaz","Jacobo Diaz","19760711","73","173","1995","Madrid, Spain","Ricardo Sanchez","R","","ESP"
"D294","Ronald Dueller","Ronald Dueller","19750403","","","","","","R","Unknown","AUT"
"D295","Sergi Duran","Sergi Duran","19760623","","","","","","R","","ESP"
"D301","Ricardo Diniz","Ricardo Diniz","19760215","","","","","","R","Unknown","BRA"
"D302","Daryl Delicata","Daryl Delicata","","","","","","","R","","MLT"
"D311","David Draper","David Draper","19720419","","","","","","L","Unknown","GBR"
"D316","Ramon Delgado","Ramon Delgado","19761114","80","183","1995","Asuncion, Paraguay","Raul Viver","R","2H","PAR"
"D323","Gunther Darkey","Gunther Darkey","19760608","","","","","","R","","GHA"
"D327","Maciej Domka","Maciej Domka","19780108","","","","","","R","Unknown","POL"
"D328","Vaclav Duda","Vaclav Duda","19740913","","","","","","R","Unknown","CZE"
"D330","Alessio Di Mauro","Alessio Di Mauro","19770809","71","185","1998","Siracusa, Italy","Fabio Rizzo","L","","ITA"
"D331","Christian Dillschneider","Christian Dillschneider","19760425","","","","","","R","Unknown","SUI"
"D333","Hai-Bo Deng","Hai-Bo Deng","19760317","","","","","","R","Unknown","CHN"
"D334","Yong Duan","Yong Duan","19760420","","","","","","R","Unknown","CHN"
"D335","Marek Durski","Marek Durski","","","","","","","R","Unknown","POL"
"D339","Marcos Daniel","Marcos Daniel","19780704","79","180","1997","Passo Fundo, Brazil","Larri Passos, Marcus Barbosa","R","1H","BRA"
"D341","Peter Dani","Peter Dani","19770121","","","","","","R","Unknown","HUN"
"D342","Dede-Suhendar Dinata","Dede-Suhendar Dinata","19691214","","","","","","R","","INA"
"D343","Petr Dezort","Petr Dezort","19750117","","","","","","R","Unknown","CZE"
"D344","Relja Fiser-Dulic","Relja Fiser-Dulic","19751231","","","","","","R","","SRB"
"D347","Mariano Delfino","Mariano Delfino","19770920","85","183","1997","Buenos Aires, Argentina","Alejandro Lombardo","R","","ARG"
